No.,Al,Ca,Mg
1,0.23253113,2.011761548,1.507212202
2,0.353463994,1.990260146,1.635696505
3,0.255762184,2.027036728,1.519919317
4,0.355209849,2.248337283,1.499788626
5,0.321535449,2.364581173,1.539037703
6,0.400619689,2.07336342,1.494463731
7,0.35953573,2.196459084,1.876434746
8,0.305528255,2.582863138,1.588586379
9,0.314989772,2.335524487,1.887237854
10,0.539926363,2.340415373,1.937283258
11,0.448068612,2.800949959,2.043610852
12,0.529915287,2.119024842,1.720293158
13,0.302897738,2.1106856,2.103077517
14,0.352506917,2.238135264,2.0564961
15,0.254716672,1.578117096,2.050971354
16,0.319197352,2.511785476,2.090803569
17,0.284073692,2.185061801,1.958055042
18,0.313021457,2.331051993,1.935482933
19,0.289549298,1.719501953,1.886247742
20,0.314880542,2.523362219,1.810329501
21,0.276177438,2.510741084,1.82618412
22,0.240860518,1.724032721,1.993275419
23,0.261176898,2.610773276,1.920697251
24,0.340427972,2.057709637,2.140275662
25,0.300957629,1.766663324,2.245526249
26,0.217509442,1.995838961,1.850856916
27,0.285165301,1.812191852,1.853530847
28,0.301102732,2.05287343,2.14377796
29,0.26508325,2.397667105,1.688941481
30,0.33402421,2.852291211,2.260668877
31,0.3517856,2.768826549,2.231410582
32,0.399820442,2.388272462,1.73052079
33,0.201040093,1.791272475,1.610223074
34,0.197301873,1.868929251,1.668799511
35,0.233059466,2.572628218,1.699146179
36,0.20570825,2.514062203,1.447968138
37,0.183961626,1.56713817,1.349904505
38,0.414587837,2.508068424,1.680869754
39,0.327588291,1.893255466,1.410293715
40,0.29174701,2.00980031,1.515821896
41,0.228081426,1.96742518,1.689256787
42,0.219893142,2.117305719,1.847120904
43,0.207771344,2.175321755,1.748899158
44,0.11697549,1.388984716,1.597699963
45,0.242891074,2.743593288,1.417132638
46,0.251563215,1.657164262,1.578416889
47,0.259836067,2.29992367,1.562531311
48,0.187716147,2.307998676,1.536340698
49,0.186295318,1.521923528,1.807065485
50,0.199731116,2.529107877,1.388342411
51,0.272632133,2.135082331,1.23904789
52,0.250114573,1.92569007,1.46680913
53,0.205050464,2.647322069,1.730815077
54,0.147523701,1.920945056,1.427964198
55,0.349612611,2.60677914,1.45467906
56,0.180646409,2.34961032,1.649400639
57,0.347017076,2.321210353,1.537839648
58,0.293065501,2.57122274,1.638703677
59,0.298848239,1.807265521,1.617307682
60,0.18427482,2.202354433,1.731837366
