treatment,n,part,Al ,Fe ,Na ,B ,P ,S ,Si,Ca,Cu ,K ,Mg ,Mn ,Zn 
minusAl,1,NL,0.178765525,0.133502088,0.604551147,0.035487106,3.918749999,3.2603298,0.092385106,4.43935116,0.006757444,9.362802021,1.634951748,0.593645733,0.027605377
minusAl,2,NL,0.167122902,0.098583939,0.454368808,0.032142086,4.065937965,3.04593638,0.103160285,3.748617645,0.006525771,10.23924714,1.571978261,0.506675137,0.031023565
minusAl,3,NL,0.155344844,0.108510738,0.374604197,0.029527298,4.097699658,3.505802782,0.111835804,3.449250946,0.007949058,11.17415479,1.811214748,0.438575225,0.030577295
minusAl,4,NL,0.199477536,0.136366122,0.647776262,0.029597052,4.08363422,3.304531473,0.112292381,4.794553315,0.006971217,10.21903781,1.807767003,0.601705904,0.030181155
plusAl,1,NL,0.41977391,0.086903427,0.437809644,0.024433674,4.002366642,2.473186624,0.102601035,3.683349098,0.005488768,8.766010242,1.306170309,0.71152022,0.023408438
plusAl,2,NL,0.440642875,0.100976419,0.46971514,0.025592641,3.951560765,2.558580395,0.109863863,3.559170854,0.007646982,8.639570977,1.243342421,0.711716208,0.027322618
plusAl,3,NL,0.391616714,0.092397222,0.583584902,0.025075353,3.906627198,2.759047366,0.107993374,4.121630563,0.00998771,9.635240212,1.532425754,0.840264248,0.024825856
plusAl,4,NL,0.361057131,0.08133952,0.279911139,0.025564854,3.890502844,2.677970411,0.108204474,3.02385587,0.005910936,10.34682411,1.606282754,0.614116665,0.030304172
minusAl,1,ML,0.569512396,0.1258376,0.462018021,0.063658837,1.996620121,4.409933119,0.251927289,9.570564499,0.0045541,3.93976894,3.520192896,1.415590795,0.01130654
minusAl,2,ML,0.6053303,0.125069082,0.542565079,0.054419238,1.744678413,4.067321346,0.274179983,9.541209696,0.005275184,4.688973416,3.616677555,1.189056849,0.011284415
minusAl,3,ML,0.530170162,0.096227232,0.559127749,0.059328105,1.724970873,4.641400516,0.292301945,8.509362488,0.009696305,5.594338404,4.226801851,0.930474138,0.017694306
minusAl,4,ML,0.630816562,0.16360268,0.46084798,0.04808161,2.07485005,5.464089146,0.269266481,9.598710734,0.005158617,4.887123465,4.24979672,1.1109254,0.011823247
plusAl,1,ML,1.714457721,0.182493579,0.456024519,0.047108286,2.957198081,3.751139839,0.328420396,9.921357168,0.004423053,4.354563583,2.813118948,1.981927194,0.012432671
plusAl,2,ML,1.620132851,0.169315354,0.602042391,0.051992089,3.359863062,3.810403764,0.28778023,9.765423699,0.004411335,4.107758126,2.690742896,2.053398773,0.009139915
plusAl,3,ML,1.582964663,0.178576533,0.448372275,0.059977185,2.263485566,4.172430148,0.300852621,9.756714165,0.00474336,4.812118063,4.148637822,1.825718524,0.013211083
plusAl,4,ML,1.706103016,0.151462937,0.566439702,0.058924374,2.061243058,4.691212825,0.320692918,9.185149609,0.004096952,5.017798203,3.910615785,1.807981528,0.009565393
minusAl,1,WR,0.222010172,0.786380117,0.453657188,0.01646084,9.650618766,7.490253272,0.148592513,1.313818508,0.022526813,17.35977482,1.63001529,0.168083777,0.064254656
minusAl,2,WR,0.33002751,0.847989541,0.380506955,0.016071603,9.888801788,7.18915329,0.140691068,1.907085133,0.023767139,18.14438327,2.403683864,0.2418222,0.073428316
minusAl,3,WR,0.321143587,0.823893696,0.80046235,0.016290222,9.211809166,8.240729645,0.151414385,2.249088447,0.025330166,19.22199496,1.958615808,0.227761046,0.075585878
minusAl,4,WR,0.315370685,1.119852876,0.468695663,0.015335686,7.926016275,7.883345478,0.161210636,2.282887931,0.02342505,16.32447866,2.047493728,0.171117689,0.065056606
plusAl,1,WR,2.264233588,0.386696631,0.452431297,0.011884281,9.085151848,7.146180554,0.140317296,1.910063076,0.016394786,18.79709825,1.85833301,0.235983961,0.052274841
plusAl,2,WR,2.206404103,0.341703376,0.458529164,0.01168829,8.731725448,6.576775241,0.139220506,1.748115835,0.015546869,17.47427584,1.804809677,0.227863596,0.048713517
plusAl,3,WR,2.962639119,0.426848682,0.622775171,0.012487277,10.19015074,6.904993434,0.145521913,1.889585345,0.01780532,19.71281324,1.669257134,0.285361319,0.056009516
plusAl,4,WR,3.212339726,0.344583257,0.551871988,0.012791352,10.79604102,6.620098248,0.18094168,1.73694188,0.016549367,19.08009234,1.633226918,0.24373831,0.051495428
